Orth_id	Uni_id	Gene_des
OG0006216	sp|Q6ZTK2|YP015_HUMAN	Putative uncharacterized protein LOC400499
OG0006222	sp|O60303|K0556_HUMAN	Protein KIAA0556
OG0006223	sp|Q01668|CAC1D_HUMAN	Voltage-dependent L-type calcium channel subunit alpha-1D
OG0006225	sp|Q9NZM3|ITSN2_HUMAN	Intersectin-2
OG0006227	sp|O94986|CE152_HUMAN	Centrosomal protein of 152 kDa
OG0006228	sp|P55067|NCAN_RAT	Neurocan core protein
OG0006231	sp|A2AAY5|SPD2B_MOUSE	SH3 and PX domain-containing protein 2B
OG0006233	sp|P41240|CSK_HUMAN	Tyrosine-protein kinase CSK
OG0006235	sp|Q8BIK4|DOCK9_MOUSE	Dedicator of cytokinesis protein 9
OG0006242	sp|B9EKR1|PTPRZ_MOUSE	Receptor-type tyrosine-protein phosphatase zeta
OG0006246	sp|Q9H8H2|DDX31_HUMAN	Probable ATP-dependent RNA helicase DDX31
OG0006250	sp|P31629|ZEP2_HUMAN	Transcription factor HIVEP2
OG0006254	sp|Q920P9|LY75_MESAU	Lymphocyte antigen 75
OG0006255	sp|E1BLZ4|ZFY26_BOVIN	Zinc finger FYVE domain-containing protein 26
OG0006257	sp|Q13370|PDE3B_HUMAN	"cGMP-inhibited 3',5'-cyclic phosphodiesterase B"
OG0006260	sp|O00716|E2F3_HUMAN	Transcription factor E2F3
OG0006263	sp|Q13275|SEM3F_HUMAN	Semaphorin-3F
OG0006268	sp|Q68DX3|FRPD2_HUMAN	FERM and PDZ domain-containing protein 2
OG0006272	sp|E1C231|LTN1_CHICK	E3 ubiquitin-protein ligase listerin
OG0006276	sp|P19879|MIME_BOVIN	Mimecan
OG0006277	sp|O43295|SRGP3_HUMAN	SLIT-ROBO Rho GTPase-activating protein 3
OG0006278	sp|Q8K430|KLH17_RAT	Kelch-like protein 17
OG0006283	sp|O15550|KDM6A_HUMAN	Lysine-specific demethylase 6A
OG0006284	sp|Q8IZD2|KMT2E_HUMAN	Inactive histone-lysine N-methyltransferase 2E
OG0006285	sp|Q15678|PTN14_HUMAN	Tyrosine-protein phosphatase non-receptor type 14
OG0006288	sp|Q8TAQ2|SMRC2_HUMAN	SWI/SNF complex subunit SMARCC2
OG0006289	sp|Q9Y2G4|ANKR6_HUMAN	Ankyrin repeat domain-containing protein 6
OG0006290	sp|A5WUN7|CAM1B_DANRE	Calmodulin-regulated spectrin-associated protein 1-B
OG0006291	sp|Q6PGP7|TTC37_HUMAN	Tetratricopeptide repeat protein 37
OG0006292	sp|O43895|XPP2_HUMAN	Xaa-Pro aminopeptidase 2
OG0006293	sp|Q8QZV1|PDE9A_RAT	"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A"
OG0006300	sp|Q9Y6Y1|CMTA1_HUMAN	Calmodulin-binding transcription activator 1
OG0006304	sp|O75385|ULK1_HUMAN	Serine/threonine-protein kinase ULK1
OG0006309	sp|Q6PBT5|PYRD1_DANRE	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1
OG0006312	sp|Q96AQ8|MCUR1_HUMAN	Mitochondrial calcium uniporter regulator 1
OG0006313	sp|Q90YS3|RS2_ICTPU	40S ribosomal protein S2
OG0006316	sp|Q62234|MYOM1_MOUSE	Myomesin-1
OG0006320	sp|O93279|A4_TAKRU	Amyloid-beta A4 protein
OG0006322	sp|Q99N50|SYTL2_MOUSE	Synaptotagmin-like protein 2
OG0006323	sp|Q9UJY4|GGA2_HUMAN	ADP-ribosylation factor-binding protein GGA2
OG0006324	sp|Q32PJ3|ORC3_BOVIN	Origin recognition complex subunit 3
OG0006327	sp|Q6ZV29|PLPL7_HUMAN	Patatin-like phospholipase domain-containing protein 7
OG0006330	sp|P97868|RBBP6_MOUSE	E3 ubiquitin-protein ligase RBBP6
OG0006331	sp|Q61316|HSP74_MOUSE	Heat shock 70 kDa protein 4
OG0006332	sp|O13127|FLOT1_CARAU	Flotillin-1
OG0006335	sp|Q8N3X1|FNBP4_HUMAN	Formin-binding protein 4
OG0006338	sp|Q9PU36|PCLO_CHICK	Protein piccolo (Fragment)
OG0006339	sp|Q8IXL6|FA20C_HUMAN	Extracellular serine/threonine protein kinase FAM20C
OG0006340	sp|O95677|EYA4_HUMAN	Eyes absent homolog 4
OG0006344	sp|A0A0R4IBK5|R213A_DANRE	E3 ubiquitin-protein ligase rnf213-alpha
OG0006348	sp|Q91Z79|LIPA3_RAT	Liprin-alpha-3
OG0006351	sp|Q66K14|TBC9B_HUMAN	TBC1 domain family member 9B
OG0006352	sp|Q6A070|TGRM1_MOUSE	TOG array regulator of axonemal microtubules protein 1
OG0006353	sp|P35421|PUR4_DROME	Phosphoribosylformylglycinamidine synthase
OG0006354	sp|Q96KM6|Z512B_HUMAN	Zinc finger protein 512B
OG0006356	sp|Q86TC9|MYPN_HUMAN	Myopalladin
OG0006357	sp|O70472|TM131_MOUSE	Transmembrane protein 131
OG0006359	sp|Q501R9|NBR1_RAT	Next to BRCA1 gene 1 protein
OG0006361	sp|P83456|PPB_GADMO	Alkaline phosphatase
OG0006365	sp|Q5ZKB9|DDX6_CHICK	Probable ATP-dependent RNA helicase DDX6
OG0006366	sp|Q9UJU6|DBNL_HUMAN	Drebrin-like protein
OG0006369	sp|A0JMV4|RBM5A_XENLA	RNA-binding protein 5-A
OG0006370	sp|E1BLZ4|ZFY26_BOVIN	Zinc finger FYVE domain-containing protein 26
OG0006372	sp|Q13615|MTMR3_HUMAN	Myotubularin-related protein 3
OG0006379	sp|A3KFU9|DISP3_MOUSE	Protein dispatched homolog 3
OG0006381	sp|Q9D1C8|VPS28_MOUSE	Vacuolar protein sorting-associated protein 28 homolog
OG0006383	sp|Q8CHG5|AREL1_MOUSE	Apoptosis-resistant E3 ubiquitin protein ligase 1
OG0006385	sp|O94761|RECQ4_HUMAN	ATP-dependent DNA helicase Q4
OG0006390	sp|Q3U7R1|ESYT1_MOUSE	Extended synaptotagmin-1
OG0006391	sp|Q148G5|PROD_BOVIN	"Proline dehydrogenase 1, mitochondrial"
OG0006394	sp|Q8WXI2|CNKR2_HUMAN	Connector enhancer of kinase suppressor of ras 2
OG0006396	sp|Q5VST9|OBSCN_HUMAN	Obscurin
OG0006397	sp|Q8BIK6|TMPS7_MOUSE	Transmembrane protease serine 7
OG0006401	sp|Q7SXN5|DNM1L_DANRE	Dynamin-1-like protein
OG0006403	sp|P62498|ERF1_XENTR	Eukaryotic peptide chain release factor subunit 1
OG0006406	sp|Q96N67|DOCK7_HUMAN	Dedicator of cytokinesis protein 7
OG0006410	sp|O75626|PRDM1_HUMAN	PR domain zinc finger protein 1
OG0006414	sp|A2VDT1|TP4A3_BOVIN	Protein tyrosine phosphatase type IVA 3
OG0006433	sp|Q6JHU9|CBP_RAT	CREB-binding protein
OG0006438	sp|Q5T5C0|STXB5_HUMAN	Syntaxin-binding protein 5
OG0006440	sp|Q9NS15|LTBP3_HUMAN	Latent-transforming growth factor beta-binding protein 3
OG0006442	sp|Q9I9A7|CDT1_XENLA	DNA replication factor Cdt1
OG0006444	sp|Q9WVL2|STAT2_MOUSE	Signal transducer and activator of transcription 2
OG0006450	sp|Q2KHR3|QSER1_HUMAN	Glutamine and serine-rich protein 1
OG0006452	sp|P31404|VATA_BOVIN	V-type proton ATPase catalytic subunit A
OG0006454	sp|P42336|PK3CA_HUMAN	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
OG0006457	sp|Q8N1W1|ARG28_HUMAN	Rho guanine nucleotide exchange factor 28
OG0006458	sp|Q4ADV7|RIC1_HUMAN	RAB6A-GEF complex partner protein 1
OG0006462	sp|Q5R4B7|CR025_PONAB	Uncharacterized protein C18orf25 homolog
OG0006466	sp|Q3V6T2|GRDN_HUMAN	Girdin
OG0006467	sp|P35610|SOAT1_HUMAN	Sterol O-acyltransferase 1
OG0006473	sp|O08914|FAAH1_MOUSE	Fatty-acid amide hydrolase 1
OG0006477	sp|Q6UXP7|F151B_HUMAN	Protein FAM151B
OG0006478	sp|Q2M1Z3|RHG31_HUMAN	Rho GTPase-activating protein 31
OG0006480	sp|Q5ZIT9|MFSD1_CHICK	Major facilitator superfamily domain-containing protein 1
OG0006489	sp|Q98902|L1CAM_TAKRU	Neural cell adhesion molecule L1
OG0006490	sp|Q6DGV1|CELF4_DANRE	CUGBP Elav-like family member 4
OG0006496	sp|Q6PH08|ERC2_MOUSE	ERC protein 2
OG0006498	sp|Q6DFF9|MABP1_XENLA	Mitogen-activated protein kinase-binding protein 1
OG0006500	sp|Q9QZZ4|MYO15_MOUSE	Unconventional myosin-XV
OG0006705	sp|Q92824|PCSK5_HUMAN	Proprotein convertase subtilisin/kexin type 5
OG0006710	sp|P35790|CHKA_HUMAN	Choline kinase alpha
OG0006712	sp|Q8N2E2|VWDE_HUMAN	von Willebrand factor D and EGF domain-containing protein
OG0006714	sp|O88307|SORL_MOUSE	Sortilin-related receptor
OG0006716	sp|Q5ZLA6|MYO1C_CHICK	Unconventional myosin-Ic
OG0006719	sp|Q5RG49|ACSF4_DANRE	Beta-alanine-activating enzyme
OG0006725	sp|Q9UHD8|SEPT9_HUMAN	Septin-9
OG0006726	sp|Q6AY91|NRK1_RAT	Nicotinamide riboside kinase 1
OG0006727	sp|Q5R7G6|PEPL1_PONAB	Probable aminopeptidase NPEPL1
OG0006729	sp|Q8IZF0|NALCN_HUMAN	Sodium leak channel non-selective protein
OG0006730	sp|Q91Z69|SRGP1_MOUSE	SLIT-ROBO Rho GTPase-activating protein 1
OG0006731	sp|Q9BVN2|RUSC1_HUMAN	RUN and SH3 domain-containing protein 1
OG0006732	sp|O88286|WIZ_MOUSE	Protein Wiz
OG0006733	sp|Q15643|TRIPB_HUMAN	Thyroid receptor-interacting protein 11
OG0006736	sp|Q9NTG7|SIR3_HUMAN	"NAD-dependent protein deacetylase sirtuin-3, mitochondrial"
OG0006737	sp|Q13387|JIP2_HUMAN	C-Jun-amino-terminal kinase-interacting protein 2
OG0006738	sp|Q6NT76|HMBX1_HUMAN	Homeobox-containing protein 1
OG0006740	sp|Q61493|REV3L_MOUSE	DNA polymerase zeta catalytic subunit
OG0006743	sp|Q9DBM0|ABCG8_MOUSE	ATP-binding cassette sub-family G member 8
OG0006748	sp|Q6PCX9|TRI37_MOUSE	E3 ubiquitin-protein ligase TRIM37
OG0006751	sp|Q15477|SKIV2_HUMAN	Helicase SKI2W
OG0006752	sp|Q5ZL98|RPC1_CHICK	DNA-directed RNA polymerase III subunit RPC1
OG0006758	sp|Q8BND3|WDR35_MOUSE	WD repeat-containing protein 35
OG0006759	sp|Q9HD23|MRS2_HUMAN	"Magnesium transporter MRS2 homolog, mitochondrial"
OG0006760	sp|D3ZD32|CHD5_RAT	Chromodomain-helicase-DNA-binding protein 5
OG0006761	sp|B2ZGJ1|CLAT_DANRE	Choline O-acetyltransferase
OG0006764	sp|Q7Z407|CSMD3_HUMAN	CUB and sushi domain-containing protein 3
OG0006766	sp|Q8R2Y2|MUC18_MOUSE	Cell surface glycoprotein MUC18
OG0006767	sp|Q8IVV2|LOXH1_HUMAN	Lipoxygenase homology domain-containing protein 1
OG0006769	sp|Q6DDV8|TPX2B_XENLA	Targeting protein for Xklp2-B
OG0006770	sp|Q6DFX2|ANTR2_MOUSE	Anthrax toxin receptor 2
OG0006771	sp|Q32LU7|PTCD3_DANRE	"Pentatricopeptide repeat domain-containing protein 3, mitochondrial"
OG0006772	sp|O60494|CUBN_HUMAN	Cubilin
OG0006774	sp|A6NKL6|T200C_HUMAN	Transmembrane protein 200C
OG0006778	sp|Q9D7I9|TGM5_MOUSE	Protein-glutamine gamma-glutamyltransferase 5
OG0006780	sp|Q14CM0|FRPD4_HUMAN	FERM and PDZ domain-containing protein 4
OG0006782	sp|Q9NZ20|PA2G3_HUMAN	Group 3 secretory phospholipase A2
OG0006792	sp|Q8N392|RHG18_HUMAN	Rho GTPase-activating protein 18
OG0006794	sp|Q9JKS6|PCLO_RAT	Protein piccolo
OG0006798	sp|Q8C5W0|CLMN_MOUSE	Calmin
OG0006804	sp|Q5TZ18|NAV3_DANRE	Neuron navigator 3
OG0006810	sp|Q04771|ACVR1_HUMAN	Activin receptor type-1
OG0006812	sp|O54750|CP2J6_MOUSE	Cytochrome P450 2J6
OG0006813	sp|Q68EM7|RHG17_HUMAN	Rho GTPase-activating protein 17
OG0006814	sp|P14400|ENP1_TETCF	Electromotor neuron-associated protein 1 (Fragment)
OG0006817	sp|Q5VT97|SYDE2_HUMAN	Rho GTPase-activating protein SYDE2
OG0006819	sp|O60658|PDE8A_HUMAN	"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A"
OG0006821	sp|Q8TEK3|DOT1L_HUMAN	"Histone-lysine N-methyltransferase, H3 lysine-79 specific"
OG0006822	sp|O95425|SVIL_HUMAN	Supervillin
OG0006824	sp|P08169|MPRI_BOVIN	Cation-independent mannose-6-phosphate receptor
OG0006828	sp|Q01484|ANK2_HUMAN	Ankyrin-2
OG0006831	sp|Q7ZY47|DDX42_XENLA	ATP-dependent RNA helicase DDX42
OG0006838	sp|P50579|MAP2_HUMAN	Methionine aminopeptidase 2
OG0006839	sp|Q5E9C0|RSU1_BOVIN	Ras suppressor protein 1
OG0006843	sp|Q7T293|SDE2_DANRE	Replication stress response regulator SDE2
OG0006844	sp|Q6PDK2|KMT2D_MOUSE	Histone-lysine N-methyltransferase 2D
OG0006846	sp|Q8JFV4|HTR5A_DANRE	HEAT repeat-containing protein 5A
OG0006852	sp|Q8BHR2|ENOX1_MOUSE	Ecto-NOX disulfide-thiol exchanger 1
OG0006856	sp|P53670|LIMK2_RAT	LIM domain kinase 2
OG0006857	sp|Q0KL02|TRIO_MOUSE	Triple functional domain protein
OG0006858	sp|Q91ZX6|SENP2_MOUSE	Sentrin-specific protease 2
OG0006860	sp|P43091|HEM1_OPSTA	"5-aminolevulinate synthase, nonspecific, mitochondrial"
OG0006863	sp|D3ZJP6|MYO10_RAT	Unconventional myosin-X
OG0006866	sp|Q5ZKJ5|MF13A_CHICK	Transmembrane protein 180
OG0006867	sp|O93533|CXB6_CHICK	Gap junction beta-6 protein
OG0006868	sp|Q9WTY1|PDCD7_MOUSE	Programmed cell death protein 7
OG0006870	sp|A4IF87|GNPAT_BOVIN	Dihydroxyacetone phosphate acyltransferase
OG0006873	sp|A0JNA2|SEZ6_BOVIN	Seizure protein 6 homolog
OG0006875	sp|P56377|AP1S2_HUMAN	AP-1 complex subunit sigma-2
OG0006877	sp|Q7ZV84|DAAF1_DANRE	"Dynein assembly factor 1, axonemal"
OG0006878	sp|Q5MNZ9|WIPI1_HUMAN	WD repeat domain phosphoinositide-interacting protein 1
OG0006879	sp|A2CI97|DYTN_DANRE	Dystrotelin
OG0006882	sp|Q6PFQ0|KS6A6_DANRE	Ribosomal protein S6 kinase alpha-6
OG0006884	sp|Q7SXN5|DNM1L_DANRE	Dynamin-1-like protein
OG0006887	sp|P49459|UBE2A_HUMAN	Ubiquitin-conjugating enzyme E2 A
OG0006889	sp|Q2PG55|S6A13_MACFA	Sodium- and chloride-dependent GABA transporter 2
OG0006890	sp|O60308|CE104_HUMAN	Centrosomal protein of 104 kDa
OG0006896	sp|Q00PI9|HNRL2_MOUSE	Heterogeneous nuclear ribonucleoprotein U-like protein 2
OG0006909	sp|Q8IZQ1|WDFY3_HUMAN	WD repeat and FYVE domain-containing protein 3
OG0006910	sp|P10830|KPCE_RABIT	Protein kinase C epsilon type
OG0006914	sp|O95477|ABCA1_HUMAN	Phospholipid-transporting ATPase ABCA1
OG0006915	sp|Q91584|ELAV3_XENLA	ELAV-like protein 3
OG0006918	sp|Q8CGR7|UPP2_MOUSE	Uridine phosphorylase 2
OG0006919	sp|P51659|DHB4_HUMAN	Peroxisomal multifunctional enzyme type 2
OG0006920	sp|Q05722|CO9A1_MOUSE	Collagen alpha-1(IX) chain
OG0006921	sp|Q14738|2A5D_HUMAN	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform
OG0006925	sp|Q5R7F5|SEM6D_PONAB	Semaphorin-6D
OG0006928	sp|O08573|LEG9_MOUSE	Galectin-9
OG0006929	sp|Q14693|LPIN1_HUMAN	Phosphatidate phosphatase LPIN1
OG0006931	sp|Q9CZ52|ANTR1_MOUSE	Anthrax toxin receptor 1
OG0006932	sp|P15822|ZEP1_HUMAN	Zinc finger protein 40
OG0006933	sp|Q922S4|PDE2A_MOUSE	"cGMP-dependent 3',5'-cyclic phosphodiesterase"
OG0006938	sp|O57589|SURF2_TAKRU	Surfeit locus protein 2
OG0006940	sp|Q8N9B5|JMY_HUMAN	Junction-mediating and -regulatory protein
OG0006941	sp|Q1LYG0|SPD2A_DANRE	SH3 and PX domain-containing protein 2A
OG0006944	sp|Q13105|ZBT17_HUMAN	Zinc finger and BTB domain-containing protein 17
OG0006945	sp|P79403|GANAB_PIG	Neutral alpha-glucosidase AB
OG0006947	sp|O60443|GSDME_HUMAN	Gasdermin-E
OG0006954	sp|O08967|CYH3_MOUSE	Cytohesin-3
OG0006956	sp|Q5ZMV8|RPGP2_CHICK	Rap1 GTPase-activating protein 2
OG0006959	sp|P15684|AMPN_RAT	Aminopeptidase N
OG0006962	sp|Q2V2M9|FHOD3_HUMAN	FH1/FH2 domain-containing protein 3
OG0006963	sp|Q6P3L6|DH12A_DANRE	Very-long-chain 3-oxoacyl-CoA reductase-A
OG0006964	sp|Q96GQ7|DDX27_HUMAN	Probable ATP-dependent RNA helicase DDX27
OG0006965	sp|O75808|CAN15_HUMAN	Calpain-15
OG0006967	sp|P26201|CD36_BOVIN	Platelet glycoprotein 4
OG0006969	sp|P20373|LDHB_FUNHE	L-lactate dehydrogenase B chain
OG0006971	sp|Q8N5Y2|MS3L1_HUMAN	Male-specific lethal 3 homolog
OG0006974	sp|Q9NVG8|TBC13_HUMAN	TBC1 domain family member 13
OG0006978	sp|Q3LXA3|TKFC_HUMAN	Triokinase/FMN cyclase
OG0006979	sp|Q1LY10|FSD1_DANRE	Fibronectin type III and SPRY domain-containing protein 1
OG0006983	sp|Q9BY12|SCAPE_HUMAN	S phase cyclin A-associated protein in the endoplasmic reticulum
OG0006986	sp|Q6NWJ4|DNJC2_DANRE	DnaJ homolog subfamily C member 2
OG0006987	sp|Q9HCM4|E41L5_HUMAN	Band 4.1-like protein 5
OG0006990	sp|Q9H251|CAD23_HUMAN	Cadherin-23
OG0006997	sp|Q5SUR0|PUR4_MOUSE	Phosphoribosylformylglycinamidine synthase
OG0007000	sp|Q27J81|INF2_HUMAN	Inverted formin-2
OG0007002	sp|Q80WC3|TNC18_MOUSE	Trinucleotide repeat-containing gene 18 protein
OG0007003	sp|P35711|SOX5_HUMAN	Transcription factor SOX-5
OG0007004	sp|O60663|LMX1B_HUMAN	LIM homeobox transcription factor 1-beta
OG0007010	sp|Q6P4T1|SNX19_MOUSE	Sorting nexin-19
OG0007011	sp|O14772|FPGT_HUMAN	Fucose-1-phosphate guanylyltransferase
OG0007013	sp|Q8IW35|CEP97_HUMAN	Centrosomal protein of 97 kDa
OG0007015	sp|Q9YHE8|T7L1A_DANRE	Transcription factor 7-like 1-A
OG0007017	sp|Q15459|SF3A1_HUMAN	Splicing factor 3A subunit 1
OG0007020	sp|Q61191|HCFC1_MOUSE	Host cell factor 1
OG0007022	sp|Q2KHT3|CL16A_HUMAN	Protein CLEC16A
OG0007023	sp|Q2KHT3|CL16A_HUMAN	Protein CLEC16A
OG0007026	sp|Q9JLU4|SHAN3_RAT	SH3 and multiple ankyrin repeat domains protein 3
OG0007028	sp|A2BH40|ARI1A_MOUSE	AT-rich interactive domain-containing protein 1A
OG0007030	sp|Q16851|UGPA_HUMAN	UTP--glucose-1-phosphate uridylyltransferase
OG0007034	sp|Q9ES28|ARHG7_MOUSE	Rho guanine nucleotide exchange factor 7
OG0007036	sp|Q5ZHT1|ACD11_CHICK	Acyl-CoA dehydrogenase family member 11
OG0007040	sp|Q9DBI0|TMPS6_MOUSE	Transmembrane protease serine 6
OG0007041	sp|Q9H772|GREM2_HUMAN	Gremlin-2
OG0007047	sp|P04323|POL3_DROME	Retrovirus-related Pol polyprotein from transposon 17.6
OG0007050	sp|Q9QXG2|RAE1_MOUSE	Rab proteins geranylgeranyltransferase component A 1
OG0007052	sp|Q92667|AKAP1_HUMAN	"A-kinase anchor protein 1, mitochondrial"
OG0007053	sp|Q6N021|TET2_HUMAN	Methylcytosine dioxygenase TET2
OG0007055	sp|Q498L9|KI15B_XENLA	Kinesin-like protein KIF15-B
OG0007058	sp|P97691|FOXM1_RAT	Forkhead box protein M1
OG0007059	sp|Q99104|MYO5A_MOUSE	Unconventional myosin-Va
OG0007060	sp|Q3UUQ7|PGAP1_MOUSE	GPI inositol-deacylase
OG0007064	sp|A0MSJ1|CRA1B_DANRE	Collagen alpha-1(XXVII) chain B
OG0007068	sp|F1R6I3|LRC39_DANRE	Leucine-rich repeat-containing protein 39
OG0007070	sp|Q96KR1|ZFR_HUMAN	Zinc finger RNA-binding protein
OG0007073	sp|Q14934|NFAC4_HUMAN	"Nuclear factor of activated T-cells, cytoplasmic 4"
OG0007079	sp|Q8CCP0|NEMF_MOUSE	Nuclear export mediator factor Nemf
OG0007082	sp|Q5RBF2|NED4L_PONAB	E3 ubiquitin-protein ligase NEDD4-like
OG0007085	sp|O00268|TAF4_HUMAN	Transcription initiation factor TFIID subunit 4
OG0007086	sp|Q76LC6|RBM24_DANRE	RNA-binding protein 24
OG0007089	sp|P58197|AP2A_RAT	Transcription factor AP-2-alpha
OG0007093	sp|B0R0I6|CHD8_DANRE	Chromodomain-helicase-DNA-binding protein 8
OG0007094	sp|P27661|H2AX_MOUSE	Histone H2AX
OG0007095	sp|Q1RMU2|CYLD_BOVIN	Ubiquitin carboxyl-terminal hydrolase CYLD
OG0007096	sp|Q9QUH6|SYGP1_RAT	Ras/Rap GTPase-activating protein SynGAP
OG0007100	sp|Q8NEZ4|KMT2C_HUMAN	Histone-lysine N-methyltransferase 2C
OG0007105	sp|Q8N2E2|VWDE_HUMAN	von Willebrand factor D and EGF domain-containing protein
OG0007107	sp|Q5SQE2|STB5L_DANRE	Syntaxin-binding protein 5-like
OG0007110	sp|P11533|DMD_CHICK	Dystrophin
OG0007118	sp|Q8BK35|NOP53_MOUSE	Ribosome biogenesis protein NOP53
OG0007120	sp|P46821|MAP1B_HUMAN	Microtubule-associated protein 1B
OG0007122	sp|A2BGS3|TM116_DANRE	Transmembrane protein 116
OG0007124	sp|Q9NPB3|CABP2_HUMAN	Calcium-binding protein 2
OG0007125	sp|Q8BWR4|UBP40_MOUSE	Ubiquitin carboxyl-terminal hydrolase 40
OG0007126	sp|Q9UQ52|CNTN6_HUMAN	Contactin-6
OG0007128	sp|Q13410|BT1A1_HUMAN	Butyrophilin subfamily 1 member A1
OG0007129	sp|Q6RY07|CHIA_RAT	Acidic mammalian chitinase
OG0007130	sp|Q924C5|ALPK3_MOUSE	Alpha-protein kinase 3
OG0007132	sp|Q9I922|RGN_XENLA	Regucalcin
OG0007136	sp|Q6PB70|ANO8_MOUSE	Anoctamin-8
OG0007141	sp|Q62077|PLCG1_MOUSE	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"
OG0007145	sp|E6ZGB4|PHF2_DICLA	Lysine-specific demethylase phf2
OG0007146	sp|Q9P1W3|CSC1_HUMAN	Calcium permeable stress-gated cation channel 1
OG0007148	sp|Q8C9B9|DIDO1_MOUSE	Death-inducer obliterator 1
OG0007149	sp|Q9NZT2|OGFR_HUMAN	Opioid growth factor receptor
OG0007152	sp|Q2UY09|COSA1_HUMAN	Collagen alpha-1(XXVIII) chain
OG0007155	sp|Q6GMF8|RHDF1_DANRE	Inactive rhomboid protein 1
OG0007157	sp|P29074|PTN4_HUMAN	Tyrosine-protein phosphatase non-receptor type 4
OG0007158	sp|Q4W5Z4|DNM3A_CHICK	DNA (cytosine-5)-methyltransferase 3A
OG0007162	sp|Q86VP3|PACS2_HUMAN	Phosphofurin acidic cluster sorting protein 2
OG0007164	sp|D3YZU1|SHAN1_MOUSE	SH3 and multiple ankyrin repeat domains protein 1
OG0007165	sp|Q811M5|CO6_RAT	Complement component C6
OG0007166	sp|Q70CQ1|UBP49_HUMAN	Ubiquitin carboxyl-terminal hydrolase 49
OG0007168	sp|Q9CTG6|AT132_MOUSE	Cation-transporting ATPase 13A2
OG0007170	sp|Q9BWU0|NADAP_HUMAN	Kanadaptin
OG0007171	sp|Q5R5U3|ZN271_PONAB	Zinc finger protein 271
OG0007173	sp|Q99KR7|PPIF_MOUSE	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
OG0007174	sp|Q08AD1|CAMP2_HUMAN	Calmodulin-regulated spectrin-associated protein 2
OG0007175	sp|Q9HBG4|VPP4_HUMAN	V-type proton ATPase 116 kDa subunit a isoform 4
OG0007176	sp|Q5VYJ5|MALR1_HUMAN	MAM and LDL-receptor class A domain-containing protein 1
OG0007177	sp|Q8IWV8|UBR2_HUMAN	E3 ubiquitin-protein ligase UBR2
OG0007179	sp|O94988|FA13A_HUMAN	Protein FAM13A
OG0007181	sp|F1NY98|DSCAM_CHICK	Down syndrome cell adhesion molecule homolog
OG0007182	sp|Q8C0T5|SI1L1_MOUSE	Signal-induced proliferation-associated 1-like protein 1
OG0007183	sp|A0JMY5|NFXL1_XENLA	NF-X1-type zinc finger protein NFXL1
OG0007185	sp|F1RD40|MYCB2_DANRE	E3 ubiquitin-protein ligase MYCBP2
OG0007186	sp|P55199|ELL_HUMAN	RNA polymerase II elongation factor ELL
OG0007187	sp|Q6R8J2|HEG_DANRE	Protein HEG
OG0007188	sp|Q5XG87|PAPD7_HUMAN	Terminal nucleotidyltransferase 4A
OG0007189	sp|Q01097|NMDE2_MOUSE	"Glutamate receptor ionotropic, NMDA 2B"
OG0007192	sp|Q9NX78|TM260_HUMAN	Transmembrane protein 260
OG0007195	sp|Q8TDG4|HELQ_HUMAN	Helicase POLQ-like
OG0007197	sp|Q9DGD9|MK08_DANRE	Mitogen-activated protein kinase 8
OG0007198	sp|Q99PI5|LPIN2_MOUSE	Phosphatidate phosphatase LPIN2
OG0007199	sp|Q15269|PWP2_HUMAN	Periodic tryptophan protein 2 homolog
OG0007200	sp|Q08CZ0|UBE3B_XENTR	Ubiquitin-protein ligase E3B
OG0007201	sp|Q99447|PCY2_HUMAN	Ethanolamine-phosphate cytidylyltransferase
OG0007204	sp|Q9Z0E8|S22A5_MOUSE	Solute carrier family 22 member 5
OG0007206	sp|Q5VU43|MYOME_HUMAN	Myomegalin
OG0007208	sp|Q9UKY1|ZHX1_HUMAN	Zinc fingers and homeoboxes protein 1
OG0007211	sp|O13168|TLE3B_DANRE	Transducin-like enhancer protein 3-B
OG0007214	sp|E7F240|MA11_DANRE	Microtubule-associated protein 11
OG0007219	sp|Q7Z6Z7|HUWE1_HUMAN	E3 ubiquitin-protein ligase HUWE1
OG0007221	sp|A0JPN2|S39A4_RAT	Zinc transporter ZIP4
OG0007222	sp|A0A0R4IKU3|RECK_DANRE	Reversion-inducing cysteine-rich protein with Kazal motifs
OG0007225	sp|Q9Y575|ASB3_HUMAN	Ankyrin repeat and SOCS box protein 3
OG0007229	sp|O15381|NVL_HUMAN	Nuclear valosin-containing protein-like
OG0007230	sp|Q5R5B0|HERP1_PONAB	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein
OG0007232	sp|Q99KW3|TARA_MOUSE	TRIO and F-actin-binding protein
OG0007233	sp|Q8NFZ0|FBH1_HUMAN	F-box DNA helicase 1
OG0007237	sp|O15164|TIF1A_HUMAN	Transcription intermediary factor 1-alpha
