Tags	GO ID	GO Name	GO Category	FDR	P-Value	Gene_num	Nr Reference	Non Annot Test	Non Annot Reference	Species	Type	Cmp
[OVER]	GO:0010906	regulation of glucose metabolic process	BIOLOGICAL_PROCESS	0.17587891	0.001838576	19	412	450	21689	Yaldwin	3Energy metabolism	V2->1vs.C
[]	GO:0006006	glucose metabolic process	BIOLOGICAL_PROCESS	1	0.843503339	3	664	153	21750	blenny	3Energy metabolism	V2->1vs.C
[OVER]	GO:0006006	glucose metabolic process	BIOLOGICAL_PROCESS	3.86E-04	1.75E-06	51	616	804	21099	common	3Energy metabolism	V2->1vs.C
[]	GO:0006006	glucose metabolic process	BIOLOGICAL_PROCESS	1	0.262616371	4	663	84	21819	blue-eyed	3Energy metabolism	V2->1vs.C
[OVER]	GO:0006006	glucose metabolic process	BIOLOGICAL_PROCESS	0.100245056	8.23E-04	27	640	442	21461	Yaldwin	3Energy metabolism	V2->1vs.C
[]	GO:0050796	regulation of insulin secretion	BIOLOGICAL_PROCESS	1	0.968502657	3	980	153	21434	blenny	3Energy metabolism	V2->1vs.C
[OVER]	GO:0050796	regulation of insulin secretion	BIOLOGICAL_PROCESS	1.03E-05	1.46E-08	74	909	781	20806	common	3Energy metabolism	V2->1vs.C
[]	GO:0050796	regulation of insulin secretion	BIOLOGICAL_PROCESS	1	0.743379059	3	980	85	21502	blue-eyed	3Energy metabolism	V2->1vs.C
[]	GO:0050796	regulation of insulin secretion	BIOLOGICAL_PROCESS	1	0.742298934	18	965	451	21136	Yaldwin	3Energy metabolism	V2->1vs.C
[]	GO:0030073	insulin secretion	BIOLOGICAL_PROCESS	1	0.953380556	4	1113	152	21301	blenny	3Energy metabolism	V2->1vs.C
[OVER]	GO:0030073	insulin secretion	BIOLOGICAL_PROCESS	1.54E-04	5.59E-07	76	1041	779	20674	common	3Energy metabolism	V2->1vs.C
[]	GO:0030073	insulin secretion	BIOLOGICAL_PROCESS	1	0.639232588	4	1113	84	21369	blue-eyed	3Energy metabolism	V2->1vs.C
[]	GO:0030073	insulin secretion	BIOLOGICAL_PROCESS	1	0.548703555	23	1094	446	21007	Yaldwin	3Energy metabolism	V2->1vs.C
[]	GO:0032869	cellular response to insulin stimulus	BIOLOGICAL_PROCESS	1	0.273077333	10	1140	146	21274	blenny	3Energy metabolism	V2->1vs.C
[OVER]	GO:0032869	cellular response to insulin stimulus	BIOLOGICAL_PROCESS	0.478007486	0.032681927	56	1094	799	20621	common	3Energy metabolism	V2->1vs.C
[]	GO:0032869	cellular response to insulin stimulus	BIOLOGICAL_PROCESS	1	0.161361467	7	1143	81	21339	blue-eyed	3Energy metabolism	V2->1vs.C
[OVER]	GO:0032869	cellular response to insulin stimulus	BIOLOGICAL_PROCESS	0.007139798	1.76E-05	46	1104	423	20997	Yaldwin	3Energy metabolism	V2->1vs.C
[]	GO:0032868	response to insulin	BIOLOGICAL_PROCESS	1	0.251805407	12	1375	144	21039	blenny	3Energy metabolism	V2->1vs.C
[OVER]	GO:0032868	response to insulin	BIOLOGICAL_PROCESS	0.056655518	0.001199629	75	1312	780	20403	common	3Energy metabolism	V2->1vs.C
[OVER]	GO:0032868	response to insulin	BIOLOGICAL_PROCESS	1	0.090868469	9	1378	79	21104	blue-eyed	3Energy metabolism	V2->1vs.C
[OVER]	GO:0032868	response to insulin	BIOLOGICAL_PROCESS	0.025356511	1.08E-04	50	1337	419	20764	Yaldwin	3Energy metabolism	V2->1vs.C
[]	GO:0104004	cellular response to environmental stimulus	BIOLOGICAL_PROCESS	1	0.357934319	12	1506	144	20908	blenny	4Stimulus response	V2->1vs.C
[OVER]	GO:0104004	cellular response to environmental stimulus	BIOLOGICAL_PROCESS	0.014019053	1.89E-04	85	1433	770	20282	common	4Stimulus response	V2->1vs.C
[]	GO:0104004	cellular response to environmental stimulus	BIOLOGICAL_PROCESS	1	0.984104129	2	1516	86	20966	blue-eyed	4Stimulus response	V2->1vs.C
[]	GO:0104004	cellular response to environmental stimulus	BIOLOGICAL_PROCESS	1	0.567259313	31	1487	438	20614	Yaldwin	4Stimulus response	V2->1vs.C
[]	GO:0071214	cellular response to abiotic stimulus	BIOLOGICAL_PROCESS	1	0.357934319	12	1506	144	20908	blenny	4Stimulus response	V2->1vs.C
[OVER]	GO:0071214	cellular response to abiotic stimulus	BIOLOGICAL_PROCESS	0.014019053	1.89E-04	85	1433	770	20282	common	4Stimulus response	V2->1vs.C
[]	GO:0071214	cellular response to abiotic stimulus	BIOLOGICAL_PROCESS	1	0.984104129	2	1516	86	20966	blue-eyed	4Stimulus response	V2->1vs.C
[]	GO:0071214	cellular response to abiotic stimulus	BIOLOGICAL_PROCESS	1	0.567259313	31	1487	438	20614	Yaldwin	4Stimulus response	V2->1vs.C
[]	GO:0071496	cellular response to external stimulus	BIOLOGICAL_PROCESS	1	0.677836411	10	1594	146	20820	blenny	4Stimulus response	V2->1vs.C
[OVER]	GO:0071496	cellular response to external stimulus	BIOLOGICAL_PROCESS	0.347140558	0.018818672	77	1527	778	20188	common	4Stimulus response	V2->1vs.C
[]	GO:0071496	cellular response to external stimulus	BIOLOGICAL_PROCESS	1	0.601690581	6	1598	82	20884	blue-eyed	4Stimulus response	V2->1vs.C
[OVER]	GO:0071496	cellular response to external stimulus	BIOLOGICAL_PROCESS	0.034752807	1.76E-04	55	1549	414	20552	Yaldwin	4Stimulus response	V2->1vs.C
